question,correct,wrong1,wrong2,blank_sentence,original_context,context_translation
益々必要とされている,are increasingly needed,are gradually reduced,are rarely recommended,Diagnostic tools capable of predicting resistance classes [   ] to guide clinical decisions.,"As the prevalence and diversity of carbapenemases increase, diagnostic tools capable not only of detecting CPE but also predicting carbapenemase classes are increasingly needed to guide treatment decisions.",カルバペネマーゼの有病率と多様性が増大するにつれて、CPEを検出するだけでなくカルバペネマーゼのクラスを予測できる診断ツールが、治療決定の指針として益々必要とされている。
重要な診断上の課題に対処する,addressing an important diagnostic gap,creating a novel therapeutic delay,increasing the clinical workload,"Implementation of new rules improves detection of difficult strains, [   ].","The implementation of a dedicated rule significantly improves detection of difficult-to-identify OXA-244/OXA-484 producers, addressing an important diagnostic gap.",専用ルールの導入により、同定が困難なOXA-244/OXA-484産生株の検出が大幅に向上し、重要な診断上の課題に対処している。
〜にのみ依存していた,relied solely on,depend strictly by,focus mainly for,"Historically, clinical microbiology laboratories [   ] minimal inhibitory concentration values.","Historically, clinical laboratories relied solely on minimal inhibitory concentration (MIC) results and interpretive criteria to guide therapy, with carbapenemase testing performed mainly for epidemiologic purposes.",歴史的に、臨床検査室は治療方針の決定において最小発育阻止濃度（MIC）の結果と解釈基準にのみ依存しており、カルバペネマーゼ検査は主に疫学的な目的で行われていた。
〜の役割を強調している／浮き彫りにしている,highlights the role of,minimizes the effect of,undermines the value of,Reintegration of pathogen testing into workflows [   ] the laboratory in antimicrobial stewardship.,Reintegration of carbapenemase testing into clinical workflows highlights the role of the clinical microbiology laboratory as a critical component of antimicrobial stewardship.,臨床ワークフローへのカルバペネマーゼ検査の再統合は、抗菌薬適正使用支援（アンチマイクロバイアル・スチュワードシップ）の重要な構成要素としての臨床微生物検査室の役割を浮き彫りにしている。
治療決定の指針とする,guide treatment decisions,delay clinical outcomes,complicate diagnosis steps,Accurate identification of resistance mechanisms is required to [   ].,"As the prevalence and diversity of carbapenemases increase, diagnostic tools capable not only of detecting CPE but also predicting carbapenemase classes are increasingly needed to guide treatment decisions.",カルバペネマーゼの有病率と多様性が増大するにつれて、CPEを検出するだけでなくカルバペネマーゼのクラスを予測できる診断ツールが、治療決定の指針とするために益々必要とされている。
〜を確実にするために極めて重要である,is vital to ensure,is likely to prevent,is easy to maintain,Prompt identification [   ] effective patient management.,"Rapid detection of CPE is vital to ensure timely administration of antimicrobial therapy to infected patients, as well as the implementation of infection control measures to prevent outbreaks in healthcare settings.",CPE（カルバペネマーゼ産生腸内細菌目細菌）の迅速な検出は、感染患者への抗菌薬療法の適時投与や、医療施設でのアウトブレイクを防ぐ感染対策の実施を確実にするために極めて重要である。
本研究では〜を報告する,"In this study, we report","In this review, we reject","In this paper, we assume",[   ] a new diagnostic tool for clinical applications.,"In this study, we report the development of resaCPE, a rapid, low-cost CPE detection method that couples the inactivation of an imipenem disk with a cell viability assay employing a carbapenem-hypersusceptible",本研究では、イミペネムディスクの失活とカルバペネム超高感度株を用いた細胞生存率測定を組み合わせた、迅速かつ安価なCPE検出法であるresaCPEの開発を報告する。
〜において重要な役割を果たす,plays a crucial role in,has a minor effect on,takes a quick lead in,Early diagnosis [   ] reducing disease mortality.,Identification of the enzyme classes responsible for carbapenem resistance plays a crucial role in ensuring that patients receive effective treatments and controlling the spread of these bacteria.,カルバペネム耐性を引き起こす酵素クラスの特定は、患者が有効な治療を受けられるようにし、これら細菌の拡散を抑制する上で重要な役割を果たす。
〜の性能を評価した,evaluated the performance of,changed the direction of,ignored the result of,We [   ] the new assay in clinical laboratories.,"In this study, we evaluated the performance of a new approach to identify carbapenemase enzymes without additional hands-on testing.",本研究では、追加の徒手検査を行うことなくカルバペネマーゼ酵素を特定する新しい手法の性能を評価した。
〜での使用を目的として設計されている,is designed for use with,is limited to comparison with,is forbidden to align with,The novel assay [   ] automated analysis platforms.,The method is designed for use with the VITEK2 automated susceptibility testing platform to recognize patterns of resistance to antibiotics and make predictions about the possible resistance mechanisms.,本手法は、抗生剤耐性パターンを認識し可能な耐性機構に関する予測を行うため、VITEK2自動薬剤感性試験プラットフォームでの使用を目的として設計されている。
〜が原因で / 〜のために,due to,in spite of,instead of,Multi-drug resistant bacteria are a public health concern [   ] their rapid spread.,Carbapenem-resistant bacteria are a major public health concern due to their ability to spread in healthcare settings and cause infections that are difficult to treat with first-line antibiotics.,カルバペネム耐性菌は、医療施設内で拡散しファーストライン抗菌薬での治療が困難な感染症を引き起こす能力があるため、主要な公衆衛生上の懸念となっている。
〜として意図されている / 〜を目的としている,is intended as,is discarded as,is described as,This novel compound [   ] a therapy for severe bacterial infections.,The investigational β-lactam/β-lactamase inhibitor combination cefepime-taniborbactam is intended as therapy for serious infections caused by Gram-negative pathogens resistant to third-generation cephalosporins and carbapenems.,治験中のβ-ラクタム/β-ラクタマーゼ阻害薬配合剤セフェピム・タニボルバクタムは、第3世代セファロスポリンおよびカルバペネムに耐性を示すグラム陰性病原菌による重症感染症の治療薬として意図されている。
〜であることが証明された / 判明した,proved to be,wished to be,seemed to have,The proposed method [   ] reliable and accurate across tests.,"The method was assessed in multiple labs and proved to be reliable, accurate, and consistent.",この手法は複数の研究室で評価され、信頼性、正確性、一貫性があることが証明された。
〜という課題に取り組む / 克服する,meeting the challenge of,giving up the hope of,losing the control of,This study contributes to [   ] drug-resistant pathogens.,This is an important step in meeting the challenge of antibiotic-resistant infections since it will help clinicians evaluate cefepime-taniborbactam as a potential treatment option as they strive to improve the care of patients suffering from serious infections.,これは抗菌薬耐性感染症という課題に取り組む上での重要な一歩であり、重症感染症に苦しむ患者のケア改善に努める臨床医が、潜在的な治療法としてセフェピム・タニボルバクタムを評価するのに役立つ。
〜しようと努める / 励む,strive to,fail to,refuse to,Clinicians continuously [   ] improve patient outcomes.,This is an important step in meeting the challenge of antibiotic-resistant infections since it will help clinicians evaluate cefepime-taniborbactam as a potential treatment option as they strive to improve the care of patients suffering from serious infections.,これは抗菌薬耐性感染症という課題に取り組む上での重要な一歩であり、重症感染症に苦しむ患者のケア改善に努める臨床医が、潜在的な治療法としてセフェピム・タニボルバクタムを評価するのに役立つ。
潜在的な治療法の選択肢,potential treatment option,primary diagnosis method,standard prevention rule,The new drug serves as a [   ] for refractory cases.,This is an important step in meeting the challenge of antibiotic-resistant infections since it will help clinicians evaluate cefepime-taniborbactam as a potential treatment option as they strive to improve the care of patients suffering from serious infections.,これは抗菌薬耐性感染症という課題に取り組む上での重要な一歩であり、重症感染症に苦しむ患者のケア改善に努める臨床医が、潜在的な治療法としてセフェピム・タニボルバクタムを評価するのに役立つ。
本研究の目的は〜することであった,The purpose of this study was to,The side effect of this drug was to,The main conclusion of this paper was to,[   ] evaluate the efficacy of the novel compound.,The purpose of this study was to establish tentative Clinical and Laboratory Standards Institute (CLSI) M45 MIC and disk diffusion (DD) breakpoints (BPs) for,本研究の目的は、暫定的なCLSI M45 MICおよびディスク拡散（DD）ブレイクポイント（BP）を確立することであった。
〜に加えて / 同様に,as well as,in front of,on top by,Effective therapy requires proper dosage [   ] strict infection control.,"Rapid detection of CPE is vital to ensure timely administration of antimicrobial therapy to infected patients, as well as the implementation of infection control measures to prevent outbreaks in healthcare settings.",CPE（カルバペネマーゼ産生腸内細菌目細菌）の迅速な検出は、感染患者への抗菌薬療法の適時投与や、医療施設でのアウトブレイクを防ぐ感染対策の実施を確実にするために極めて重要である。
〜の原因となる / 〜を引き起こす,responsible for,independent of,protected against,Identification of the genes [   ] antibiotic resistance is critical.,Identification of the enzyme classes responsible for carbapenem resistance plays a crucial role in ensuring that patients receive effective treatments and controlling the spread of these bacteria.,カルバペネム耐性を引き起こす酵素クラスの特定は、患者が有効な治療を受けられるようにし、これら細菌の拡散を抑制する上で重要な役割を果たす。
本研究では〜について記述/説明する,This study describes,This paper forgets,This trial avoids,[   ] a new reference method for susceptibility testing.,This study describes the reference broth microdilution MIC method for cefepime-taniborbactam (taniborbactam fixed at 4 µg/mL).,本研究では、セフェピム・タニボルバクタム（タニボルバクタム4 µg/mL固定）の標準微量液体希釈MIC法について記述する。
〜の急務を強調している,underscores the urgent need for,overlooks the potential benefit of,eliminates the necessity of,The high mortality rate [   ] early identification.,"The high mortality rate associated with carbapenem-resistant Enterobacterales (CRE), particularly for bloodstream infections (BSI), underscores the urgent need for early identification and differentiation of its resistance mechanisms.",カルバペネム耐性腸内細菌目（CRE）、特に血流感染症（BSI）に伴う高い致死率は、その耐性機構の早期同定と鑑別の急務を強調している。
〜によって特徴づけられる（差別化される）,is distinguished by,is replaced by,is complicated by,Our novel diagnostic method [   ] a significant economic advantage.,"Although numerous advanced technologies such as mNGS, Filmarray, Verigene, and NG-Test CARBA 5 DetecTool have been developed for carbapenemase typing of CPE in positive blood cultures, our method is distinguished by a significant economic advantage, with a cost of less than $1 USD per test.",陽性血液培養中のCPEのカルバペネマーゼ型判定のためにmNGS、Filmarray、Verigene、NG-Test CARBA 5 DetecToolといった数多くの高度な技術が開発されてきたが、我々の方法は1テストあたり1米ドル未満という顕著な経済的優位性によって特徴づけられる。
本研究は〜を目的とした,aimed to,refused to,failed to,This study [   ] compare the performance of different susceptibility testing methods.,"This study aimed to compare the performance of disk diffusion, gradient test (ETEST), and VITEK 2 (AST-N223, AST-N428, AST-N432 cards) antibiotic susceptibility testing methods with the reference broth microdilution (BMD) for carbapenem susceptibility in OXA-48-like carbapenemase-producing",本研究は、OXA-48様カルバペネマーゼ産生菌におけるカルバペネム感性について、ディスク拡散法、グラジエント法（ETEST）、VITEK 2各種カードの各薬剤感性試験法の性能を、標準法である微量液体希釈法（BMD）と比較することを目的とした。
〜に重大な課題を突きつける,poses significant challenges to,offers immediate solutions for,provides direct evidence of,The rising prevalence of resistant bacteria [   ] effective antibiotic therapy.,"The rising prevalence of carbapenemase-producing Enterobacterales (CPE) poses significant challenges to effective antibiotic therapy, particularly for urinary tract infections.",カルバペネマーゼ産生腸内細菌目（CPE）の有病率の上昇は、特に尿路感染症に対する効果的な抗菌薬療法に重大な課題を突きつけている。
〜を確保するために不可欠である,is crucial for ensuring,is irrelevant to maintaining,is insufficient for proving,Selecting accurate susceptibility testing methods [   ] appropriate clinical use.,"However, selecting accurate susceptibility testing methods is crucial for ensuring appropriate clinical use.",しかしながら、正確な感性試験法を選択することは、適切な臨床使用を確保するために不可欠である。
〜に関する重要な洞察を提供することによって,By providing critical insights into,By ignoring major limitations in,By concealing detailed data on,"[   ] their reliability, this research supports improved diagnostic accuracy.","By providing critical insights into their reliability, particularly for routine clinical settings, this research supports improved diagnostic accuracy and optimal use of mecillinam in combating multidrug-resistant infections.",特に日常の臨床現場におけるそれらの信頼性に関する重要な洞察を提供することにより、本研究は診断精度の向上と、多剤耐性感染症との闘いにおけるメシリナムの最適な使用を支援する。
〜としての可能性を強調している,underscoring its potential as,dismissing its role as,reducing its impact on,"These findings support the broad usage of the drug, [   ] a valuable alternative.","These findings are especially relevant as pivmecillinam gains international approval, underscoring its potential as a valuable alternative in the fight against antibiotic resistance.",ピブメシリナムが国際的な承認を得る中でこれらの知見は特に重要であり、抗菌薬耐性との闘いにおける貴重な代替選択肢としての可能性を強調している。
多角的な〜を克服する,overcomes a variety of,relies on a range of,results in a loss of,The novel mechanism of action [   ] resistance mechanisms.,The novel mechanism of action of cefiderocol overcomes a variety of resistance mechanisms associated with gram-negative bacteria and positions the agent as an attractive option for treating infections involving multidrug-resistant pathogens.,セフィデロコルの新規な作用機序は、グラム陰性菌に関連する多角的な耐性機構を克服し、多剤耐性病原体による感染症治療の魅力的な選択肢として本薬剤を位置づけている。
薬剤を〜として位置づける,positions the agent as,rejects the agent for,isolates the agent from,This unique mode of action [   ] an attractive option for treating refractory infections.,The novel mechanism of action of cefiderocol overcomes a variety of resistance mechanisms associated with gram-negative bacteria and positions the agent as an attractive option for treating infections involving multidrug-resistant pathogens.,セフィデロコルの新規な作用機序は、グラム陰性菌に関連する多角的な耐性機構を克服し、多剤耐性病原体による感染症治療の魅力的な選択肢として本薬剤を位置づけている。
〜であるため極めて重要（不可欠）である,is critical as,is unnecessary since,is prohibited when,The availability of rapid testing methods [   ] resistant strains have been described.,"The availability of accurate, timely antimicrobial susceptibility testing methods for cefiderocol in clinical microbiology laboratories is critical as cefiderocol-resistant isolates have been described and may contribute to treatment failure.",セフィデロコル耐性株が報告されており治療失敗の一因となる可能性があるため、臨床微生物検査室でセフィデロコルの正確かつ迅速な薬剤感性試験法を利用できることは極めて重要である。
〜の一因となる可能性がある,may contribute to,may prevent from,may protect against,Undetected antimicrobial resistance [   ] treatment failure in clinical settings.,"The availability of accurate, timely antimicrobial susceptibility testing methods for cefiderocol in clinical microbiology laboratories is critical as cefiderocol-resistant isolates have been described and may contribute to treatment failure.",セフィデロコル耐性株が報告されており治療失敗の一因となる可能性があるため、臨床微生物検査室でセフィデロコルの正確かつ迅速な薬剤感性試験法を利用できることは極めて重要である。
〜での使用には現実的（実行可能）でないかもしれない,may not be feasible for use in,should be widely recommended for,must be universally mandatory in,Complex specialized testing methods [   ] many routine clinical laboratories.,Iron-depleted broth microdilution testing may not be feasible for use in many clinical laboratories.,鉄制限微量液体希釈試験は、多くの臨床検査室での使用には現実的でないかもしれない。
〜と比較して優れた性能を示す,superior performance compared with,equal outcomes despite,inferior accuracy relative to,The newly developed protocol exhibited [   ] existing technologies.,"The relebactam, dipicolinic acid, and avibactam sodium (REL/DPA/AVI) method has demonstrated significant success in identifying and differentiating carbapenemase-producing Enterobacterales (CPE) from positive blood cultures, exhibiting superior performance compared with existing technologies.",REL/DPA/AVI法は、陽性血液培養からのカルバペネマーゼ産生腸内細菌目（CPE）の同定および鑑別において顕著な成果を示し、既存技術と比較して優れた性能を発揮した。
治療の有効性を損なう可能性がある,compromise the treatment efficacy,enhance the therapeutic outcome,simplify the diagnostic process,Misclassification of resistance patterns may mislead clinicians and [   ].,"Discrepancy errors and misclassifications of resistant isolates as susceptible, and susceptible isolates as resistant, may mislead clinicians and compromise the treatment efficacy.",不一致エラーや、耐性株を感性株、あるいは感性株を耐性株と誤分類することは、臨床医の判断を誤らせ、治療の有効性を損なう可能性がある。
〜するためにさらなる研究（作業）が必要である,More work is needed to,Less effort is required to,No evidence is available to,[   ] standardize practical yet reproducible diagnostic methods.,More work is needed to standardize practical yet reproducible methods for cefiderocol antimicrobial susceptibility testing.,セフィデロコルの薬剤感性試験において、実用的でありながら再現性のある方法を標準化するには、さらなる研究が必要である。
〜に重要な影響を持つ / 重大な意味を持つ,critical implications for,marginal effects on,passive consequences to,Accurate diagnosis of antimicrobial resistance has [   ] patient treatment and public health.,"For these reasons, rapid and accurate identification of the enzyme class in carbapenemase-producing isolates has critical implications for informing appropriate patient treatment, hospital infection control, and public health.",これらの理由から、カルバペネマーゼ産生菌株における酵素クラスの迅速かつ正確な特定は、適切な患者治療、病院感染対策、および公衆衛生に重要な影響を与えます。
〜から除外された,were excluded from,were included with,were derived in,A total of ten samples [   ] the final statistical analysis due to missing clinical data.,"A total of four isolates were excluded from the study analyses: two due to mixed culture results and two due to poor growth on the VITEK2 AST cards, resulting in incomplete data.",混合培養の結果による2株とVITEK2 ASTカードでの生育不良による2株を含む、計4株が不完全データのため研究解析から除外されました。
〜と一致して / 〜に従って,In agreement with,In opposition to,In exchange for,"[   ] previous literature, the combination therapy demonstrated superior clinical efficacy.","Specifically, in agreement with CLSI guidance, susceptible or susceptible dose-dependent cefepime results were prompted to be suppressed or reported as resistant for all isolates predicted as CP-CRE.",具体的には、CLSIのガイダンスに従い、CP-CREと予測されたすべての分離株に対して、セフェピムの感性または感性(用量依存)の結果を非表示にするか耐性と報告するよう促されました。
本研究の主な強みは〜であった,A key strength of this study was,A major barrier of this research had,An optional feature of the analysis was,"[   ] the inclusion of a large, well-characterized cohort of surgical patients.",A key strength of this study was performance of WGS to identify less common carbapenemase genes.,本研究の主な強みは、より稀なカルバペネマーゼ遺伝子を特定するためにWGS（全ゲノム解析）を実施したことでした。
本研究の限界（制限事項）は〜であった,A limitation of the study was,A key novelty of the report became,A core purpose of the trial stood,"[   ] the retrospective design, which prevented us from establishing direct causality.","A limitation of the study was the low number of OXA-48-like, SME-, IMP-, and IMI-producing isolates and absence of VIM-producing isolates, which limited the robust evaluation of these tools for detecting these enzyme classes.",本研究の限界は、OXA-48様、SME、IMP、IMI産生株の数が少なく、VIM産生株が存在しなかったことであり、これによりこれらの酵素クラスの検出に関するツールの堅牢な評価が制限されました。
貴重な知見を提供する,provide valuable insights,create redundant errors,eliminate statistical significance,These experimental findings [   ] into the underlying molecular mechanisms of disease progression.,"In summary, while these tools provide valuable insights for carbapenemase detection, performance varied by carbapenemase class, underlining the need for laboratories to consider the downstream effects on patient care and infection prevention.",要約すると、これらのツールはカルバペネマーゼ検出に対して貴重な知見を提供する一方で、性能はカルバペネマーゼのクラスによって異なり、検査室が患者ケアや感染予防への波及効果を考慮する必要性を浮き彫りにしています。
以下の基準に基づいている,is based on the following criteria,is contradicted by the primary factors,is translated into the future methods,The selection of suitable candidates for surgical intervention [   ].,This study aimed to develop and validate such a scheme based on the following key criteria: Core genome representation...,本研究は、コアゲノムの代表性などの主要な基準に基づいて、そのようなスキームを開発および検証することを目的としました。
総合すると、これらの結果は〜であることを実証している,"Together, these results demonstrate that","In contrast, those errors indicate how","Alternatively, these failures prove whether",[   ] targeted therapy significantly improves overall survival in this patient population.,"Together, these results demonstrate that our cgMLST schemes allow for high-resolution outbreak tracking of Citrobacter spp., even when species identification is uncertain.",総合すると、これらの結果は、菌種同定が不確実な場合であっても、当社のcgMLSTスキームがシトロバクター属菌の高解像度アウトブレイク追跡を可能にすることを示しています。
この問題に対処する / 解決する,address this problem,ignore this issue,expand this hazard,Novel therapeutic approaches are urgently needed to [   ] of multidrug resistance.,Molecular panels that rapidly identify common gram-negative bloodstream pathogens and a limited number of antimicrobial resistance determinants directly from positive blood culture broths have been developed to address this problem.,陽性血液培養液から直接、一般的なグラム陰性血流病原体および限定された薬剤耐性決定基を迅速に特定する分子パネルが、この問題に対処するために開発されました。
〜の潜在的な臨床的影響を評価するために,To evaluate the potential clinical impact of,To minimize the total sample size of,To obscure the historical background of,"[   ] the new rapid diagnostic assay, a prospective randomized trial was conducted.","To evaluate the potential clinical impact of the AMR Panel, we also performed a simulated stewardship study to assess potential opportunities for antimicrobial escalation and de-escalation if results from the AMR Panel had been available to patient care teams in real time.",AMRパネルの潜在的な臨床的影響を評価するために、AMRパネルの結果がリアルタイムで医療チームに利用可能であった場合の抗菌薬の強化および段階的削減（デ・エスカレーション）の潜在的機会を評価する模擬スチュワードシップ研究も実施しました。
〜をより良く理解するためにさらなる研究が必要である,Further research is needed to,Initial data are sufficient to,Previous funding was wasted to,[   ] better understand the precise signal transduction pathways involved in the cellular response.,Further research is needed to better understand additional resistance determinants that would have the highest yield to add to this multiplexed panel to detect ciprofloxacin resistance more comprehensively.,シプロフロキサシン耐性をより包括的に検出するために、このマルチプレックスパネルに追加することで最大の収穫が得られる追加の耐性決定基をより良く理解するには、さらなる研究が必要です。
以前の〜と一致して,Consistent with prior,Divergent from future,Unrelated to existing,"[   ] clinical trials, the treatment was well tolerated with low overall incidence of adverse events.","Consistent with prior compendia, this review focused on novel species and revised taxa of relevance to human health and disease.",以前の概要（要約）と一致して、本レビューでは人の健康と疾病に関連する新規菌種および改訂された分類群に焦点を当てました。
〜によって損なわれてきた / 低下してきた,has been compromised by,has been enhanced through,has been isolated from,The clinical utility of conventional antibiotics [   ] the rapid spread of resistance genes.,"Despite their utility, the effectiveness of aminoglycosides has been compromised by the emergence of 16S rRNA methyltransferases (16S-RMTases).",有用性にもかかわらず、アミノグリコシド系の有効性は16S rRNAメチルトランスフェラーゼ（16S-RMTases）の出現によって損なわれてきました。
〜の必要性を強調する / 浮き彫りにする,underscore the need for,diminish the urgency of,reject the importance in,These alarming epidemiological findings [   ] continuous surveillance and strict stewardship programs.,"We show that a successful IncR plasmid carrying armA persisted for at least 10 years, underscoring the need for genomic surveillance and strengthened infection-control strategies in veterinary medicine.",armAを運ぶ成功したIncRプラスミドが少なくとも10年間持続したことを示しており、獣医学におけるゲノムサーベイランスと強化された感染対策戦略の必要性を強調しています。
予想された結果と一致しなかった,did not match expected results,perfectly aligned with standard control,strictly followed baseline protocols,Initial diagnostic testing was repeated when the initial laboratory values [   ].,"Discrepant analyses for isolate enrollment criteria were performed for isolates in which carbapenemase detection by Carba-R, mCIM, and/or VITEK2 AST did not match expected results.",分離株の登録基準に関する不一致解析は、Carba-R、mCIM、および/またはVITEK2 ASTによるカルバペネマーゼ検出が予想された結果と一致しなかった分離株に対して実施されました。
〜において不可欠な役割を果たす,plays an indispensable role in,plays a negligible role in,takes a peripheral side in,Genomic analysis [   ] identifying the source of the disease outbreak.,"Genomic sequencing has become a standard component of epidemiologic investigations, where it plays an indispensable role in establishing clonality and relatedness of bacterial isolates involved in a transmission cluster or outbreak.",ゲノムシーケンスは疫学調査の標準的な要素となっており、伝播クラスターやアウトブレイクに関与する細菌分離株のクローナリティおよび関連性を確定する上で不可欠な役割を果たしている。
〜と同等である / 〜に匹敵する,comparable to that of,irrelevant to that of,incompatible with that of,The accuracy of the new diagnostic test was [   ] the standard reference method.,"This work demonstrates that nanopore-only clonality and outbreak analysis can be performed, with performance comparable to that of Illumina short-read sequencing and will contribute critically to hospital infection control.",本研究は、ナノポアのみを用いたクローナリティおよびアウトブレイク解析がIlluminaのショートリードシーケンスと同等の性能で実施可能であり、病院感染対策に大きく貢献することを示している。
〜に重点を置いて / 〜に着目して,with a focus on,with a disregard of,with an exception to,The researchers designed the new protocol [   ] safety and cost-effectiveness.,"In this work, we optimize an open-source ONT-only workflow for epidemiologic analysis of clonal outbreaks and transmission of bacterial pathogens with a focus on accessibility and performance.",本研究では、アクセスしやすさとパフォーマンスに重点を置いて、クローン性アウトブレイクおよび細菌性病原体の伝播の疫学的解析のためのオープンソースのONT単独ワークフローを最適化する。
〜の影響を評価するために,To assess the impact of,To diminish the effect of,To overlook the outcome of,"[   ] the new treatment, clinical trial data were analyzed over six months.","To assess the impact of dorado polishing on the improved sup@5.0.0 draft genomes, further genome polishing using either medaka or dorado polish with their respective bacterial models was compared.",向上したsup@5.0.0ドラフトゲノムに対するdoradoポリッシングの影響を評価するために、それぞれの細菌モデルを用いたmedakaまたはdorado polishによるさらなるゲノムポリッシングを比較した。
〜と一致している / 〜に沿っている,are in line with,are in conflict with,are at odds with,Our latest clinical findings [   ] previous reports published by international research groups.,These results are in line with the observations made with the P. aeruginosa test set and demonstrate the broader applicability of the optimized workflow across four relevant bacterial pathogens with varying genome size and GC content.,これらの結果は、緑膿菌のテストセットで得られた観察結果と一致しており、ゲノムサイズやGC含有量が異なる4つの関連する細菌病原体全体における最適化ワークフローの広範な適用可能性を示している。
〜を除いて / 〜を例外として,with the exception of,with the inclusion of,with the purpose of,"All tested bacterial strains were sensitive to the drug, [   ] one resistant isolate.","The European Committee on Antimicrobial Susceptibility Testing (EUCAST) has established BPs for Pseudomonas species, which can be applied to both P. aeruginosa and non- aeruginosa species, with the exception of novel beta-lactam combination agents and meropenem meningitis BPs that are limited to P. aeruginosa.",欧州抗菌薬感受性試験委員会（EUCAST）はシュードモナス属に対するブレイクポイント（BP）を設定しており、これは緑膿菌に限定される新規ベータラクタム配合薬およびメロペネム髄膜炎BPを除き、緑膿菌および非緑膿菌種の両方に適用できる。
本研究の主な目的は〜することであった,The primary objective of this study was to,The major drawback of this trial was to,The initial assumption of this hypothesis was to,[   ] evaluate the efficacy of the novel antiviral compound.,The primary objective of this study was to establish tentative MIC and disk diffusion breakpoints for POPA for inclusion in the forthcoming 4th Edition of the CLSI M45 document.,本研究の主な目的は、近く改訂されるCLSI M45文書第4版への掲載に向けて、緑膿菌以外のシュードモナス属（POPA）に対する暫定的なMICおよびディスク拡散法のブレイクポイントを設定することであった。
